date,normalized_date,total_click,relative_click,assessment_type
-9,-0.03435114503816794,24653,4.006357005611372,
-8,-0.030534351145038167,10817,1.7578697817587399,
-7,-0.026717557251908396,7237,1.1760842757315337,
-6,-0.022900763358778626,8058,1.309504918314868,
-5,-0.019083969465648856,11726,1.905591297115927,
-4,-0.015267175572519083,8032,1.3052796604498658,
-3,-0.011450381679389313,6729,1.093529237446109,
-2,-0.007633587786259542,7422,1.2061486105402022,
-1,-0.003816793893129771,5647,0.9176935062948696,
0,0.0,10524,1.7102543758185242,
1,0.003816793893129771,10500,1.7063541377892917,
2,0.007633587786259542,15470,2.514028429676223,
3,0.011450381679389313,13042,2.119454349052185,
4,0.015267175572519083,10410,1.6917282451796691,
5,0.019083969465648856,9507,1.5449817893297901,
6,0.022900763358778626,6821,1.108480149891501,
7,0.026717557251908396,4944,0.8034490340219294,
8,0.030534351145038167,8294,1.3478572589356557,
9,0.03435114503816794,11248,1.8279115563670432,
10,0.03816793893129771,9948,1.6166486631169403,
11,0.04198473282442748,9253,1.5037042701870778,
12,0.04580152671755725,8171,1.3278685390358382,
13,0.04961832061068702,6663,1.082803582865719,
14,0.05343511450381679,7155,1.1627584624649887,
15,0.05725190839694656,8426,1.3693085680964354,
16,0.061068702290076333,10681,1.7357684329264214,
17,0.0648854961832061,11771,1.9129042434207384,
18,0.06870229007633588,10067,1.635987343345219,
19,0.07251908396946564,6793,1.1039298721907294,TMA
20,0.07633587786259542,4280,0.6955424485464923,
21,0.08015267175572519,4147,0.6739286294678278,
22,0.08396946564885496,6562,1.066390081159365,
23,0.08778625954198473,7195,1.1692588591803765,
24,0.0916030534351145,7695,1.2505138181227238,
25,0.09541984732824428,6342,1.0306378992247323,
26,0.09923664122137404,6752,1.097266965557457,
27,0.10305343511450382,6144,0.9984609354835626,
28,0.10687022900763359,5809,0.94402011299219,
29,0.11068702290076336,7634,1.2406007131317573,
30,0.11450381679389313,7885,1.2813907025208158,
31,0.1183206106870229,8614,1.399860432658758,
32,0.12213740458015267,7904,1.284478390960625,
33,0.12595419847328243,7445,1.2098863386515502,
34,0.1297709923664122,6549,1.0642774522268639,
35,0.13358778625954199,5656,0.9191560955558318,
36,0.13740458015267176,8464,1.3754839449760539,
37,0.14122137404580154,10515,1.7087917865575621,
38,0.1450381679389313,10245,1.6649141087286945,
39,0.14885496183206107,10300,1.6738521542123528,
40,0.15267175572519084,10971,1.7828963091129828,
41,0.15648854961832062,6888,1.1193683143897752,
42,0.16030534351145037,7402,1.2028984121825084,
43,0.16412213740458015,9398,1.5272682082803584,
44,0.16793893129770993,9673,1.5719584356986493,
45,0.1717557251908397,9082,1.475915074228795,
46,0.17557251908396945,8203,1.3330688564081485,
47,0.17938931297709923,7563,1.229062508961944,
48,0.183206106870229,4553,0.7399076561290138,
49,0.18702290076335878,3854,0.6263132235276124,
50,0.19083969465648856,6382,1.0371382959401199,
51,0.1946564885496183,7801,1.2677398694185014,
52,0.1984732824427481,7652,1.243525891653682,
53,0.20229007633587787,8719,1.4169239740366508,
54,0.20610687022900764,5086,0.8265254423615559,TMA
55,0.2099236641221374,4253,0.6911546807636054,
